fiscal_year,service,department,program,expense_category,fund,fund_type,expense_type,description,recommended_amount,approved_amount
2017,Administration,Office of Sustainability and Environment,Office of Sustainability and Environment,Office of Sustainability and Environment,General Fund,Tax-Supported Fund,Operating Expense,Office of Sustainability and Environment,0,4223639
2017,Administration,Personnel Compensation Trust Funds,Group Term Life,Group Term Life Program,General Fund,Tax-Supported Fund,Operating Expense,Group Term Life Program,0,6798742
2017,Administration,Personnel Compensation Trust Funds,Health Care,Health Care Program,General Fund,Tax-Supported Fund,Operating Expense,Health Care Program,0,210247436
2017,Administration,Personnel Compensation Trust Funds,Industrial Insurance,Industrial Insurance Program,General Fund,Tax-Supported Fund,Operating Expense,Industrial Insurance Program,0,20768608
2017,Administration,Personnel Compensation Trust Funds,Special Employment,Special Employment Program,General Fund,Tax-Supported Fund,Operating Expense,Special Employment Program,0,100000
2017,Administration,Personnel Compensation Trust Funds,Transit Benefit,Transit Benefit Program,General Fund,Tax-Supported Fund,Operating Expense,Transit Benefit Program,0,5874000
2017,Administration,Personnel Compensation Trust Funds,Unemployment Insurance,Unemployment Insurance Program,General Fund,Tax-Supported Fund,Operating Expense,Unemployment Insurance Program,0,1960404
2017,Public Safety,Police Relief and Pension,Police Relief and Pension,Administration,General Fund,Tax-Supported Fund,Operating Expense,Administration,0,634712
2017,Public Safety,Police Relief and Pension,Police Relief and Pension,Death Benefits,General Fund,Tax-Supported Fund,Operating Expense,Death Benefits,0,18000
2017,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,General Fund,Tax-Supported Fund,Operating Expense,Medical Benefits,0,14820000
2017,Public Safety,Police Relief and Pension,Police Relief and Pension,Pension Benefits,General Fund,Tax-Supported Fund,Operating Expense,Pension Benefits,0,6600000
2017,Administration,Employees' Retirement System,Employee Benefit Management,Employees' Retirement,General Fund,Tax-Supported Fund,Operating Expense,Employees' Retirement,0,20445962
2017,Utilities & Transportation,Seattle City Light,Administrative Services O&M,Administrative Services O&M,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services O&M,0,9322211
2017,Utilities & Transportation,Seattle City Light,Customer Focused - CIP,Customer Focused - CIP,General Fund,Tax-Supported Fund,Operating Expense,Customer Focused - CIP,0,93426947
2017,Utilities & Transportation,Seattle City Light,"Customer Service, Communications and Regulatory Affairs","Customer Service, Communications and Regulatory Affairs",General Fund,Tax-Supported Fund,Operating Expense,"Customer Service, Communications and Regulatory Affairs",0,43565482
2017,Utilities & Transportation,Seattle City Light,Debt Service,Debt Service - BCL,General Fund,Tax-Supported Fund,Operating Expense,Debt Service - BCL,0,213372652
2017,Utilities & Transportation,Seattle City Light,Engineering and Technology Innovation O&M,Engineering and Technology Innovation O&M,General Fund,Tax-Supported Fund,Operating Expense,Engineering and Technology Innovation O&M,0,23434009
2017,Utilities & Transportation,Seattle City Light,Environmental Affairs O&M,Environmental Affairs O&M,General Fund,Tax-Supported Fund,Operating Expense,Environmental Affairs O&M,0,14900786
2017,Utilities & Transportation,Seattle City Light,Financial Services - CIP,Financial Services - CIP,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - CIP,0,8633328
2017,Utilities & Transportation,Seattle City Light,Financial Services - O&M,Financial Services - O&M,General Fund,Tax-Supported Fund,Operating Expense,Financial Services - O&M,0,53644396
2017,Utilities & Transportation,Seattle City Light,General Expenses,General Expenses,General Fund,Tax-Supported Fund,Operating Expense,General Expenses,0,104814529
2017,Utilities & Transportation,Seattle City Light,Generation Operations and Engineering O&M,Generation Operations and Engineering O&M,General Fund,Tax-Supported Fund,Operating Expense,Generation Operations and Engineering O&M,0,23288606
2017,Utilities & Transportation,Seattle City Light,Long-Term Purchased Power,Long-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Long-Term Purchased Power,0,299074369
2017,Utilities & Transportation,Seattle City Light,Power Management and Strategic Planning O&M,Power Management and Strategic Planning O&M,General Fund,Tax-Supported Fund,Operating Expense,Power Management and Strategic Planning O&M,0,70981644
2017,Utilities & Transportation,Seattle City Light,Power Supply & Environmental Affairs - CIP,Power Supply & Environmental Affairs - CIP,General Fund,Tax-Supported Fund,Operating Expense,Power Supply & Environmental Affairs - CIP,0,70819756
2017,Utilities & Transportation,Seattle City Light,Short-Term Purchased Power,Short-Term Purchased Power,General Fund,Tax-Supported Fund,Operating Expense,Short-Term Purchased Power,0,40404040
2017,Utilities & Transportation,Seattle City Light,Taxes,Taxes,General Fund,Tax-Supported Fund,Operating Expense,Taxes,0,94370522
2017,Utilities & Transportation,Seattle City Light,Transmission and Distribution - CIP,Transmission and Distribution - CIP,General Fund,Tax-Supported Fund,Operating Expense,Transmission and Distribution - CIP,0,142369967
2017,Utilities & Transportation,Seattle City Light,Transmission and Distribution O&M,Transmission and Distribution O&M,General Fund,Tax-Supported Fund,Operating Expense,Transmission and Distribution O&M,0,60446782
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Annual Certification and Inspection,Annual Certification and Inspection,General Fund,Tax-Supported Fund,Operating Expense,Annual Certification and Inspection,0,5360946
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Code Compliance,Code Compliance,General Fund,Tax-Supported Fund,Operating Expense,Code Compliance,0,5764199
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Code Compliance,Code Development,General Fund,Tax-Supported Fund,Operating Expense,Code Development,0,1032916
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Code Compliance,Rental Housing,General Fund,Tax-Supported Fund,Operating Expense,Rental Housing,0,2255855
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Inspections,Building Inspections,General Fund,Tax-Supported Fund,Operating Expense,Building Inspections,0,6932369
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Inspections,Construction Inspections Unallocated CBA,General Fund,Tax-Supported Fund,Operating Expense,Construction Inspections Unallocated CBA,0,2318752
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Inspections,Electrical Inspections,General Fund,Tax-Supported Fund,Operating Expense,Electrical Inspections,0,6962242
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Inspections,Signs and Billboards,General Fund,Tax-Supported Fund,Operating Expense,Signs and Billboards,0,400553
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Inspections,Site Review and Inspection,General Fund,Tax-Supported Fund,Operating Expense,Site Review and Inspection,0,5111229
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Permit Services,Construction Permit Services Overhead Allocations,General Fund,Tax-Supported Fund,Operating Expense,Construction Permit Services Overhead Allocations,0,-6907552
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Permit Services,Construction Permit Services Unallocated CBA,General Fund,Tax-Supported Fund,Operating Expense,Construction Permit Services Unallocated CBA,0,4073484
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Permit Services,Construction Plans Administration,General Fund,Tax-Supported Fund,Operating Expense,Construction Plans Administration,0,22107109
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Construction Permit Services,Operations Division Management,General Fund,Tax-Supported Fund,Operating Expense,Operations Division Management,0,6907552
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Department Leadership,Community Engagement,General Fund,Tax-Supported Fund,Operating Expense,Community Engagement,0,421621
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Department Leadership,Department Leadership Overhead Allocations,General Fund,Tax-Supported Fund,Operating Expense,Department Leadership Overhead Allocations,0,-14922949
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Department Leadership,Director's Office,General Fund,Tax-Supported Fund,Operating Expense,Director's Office,0,894532
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Department Leadership,Finance and Accounting Services,General Fund,Tax-Supported Fund,Operating Expense,Finance and Accounting Services,0,12773312
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Department Leadership,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,833484
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Land Use Services,Land Use Services,General Fund,Tax-Supported Fund,Operating Expense,Land Use Services,0,16653044
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Land Use Services,Land Use Services Unallocated CBA,General Fund,Tax-Supported Fund,Operating Expense,Land Use Services Unallocated CBA,0,1672241
2017,Public Safety,Seattle Fire Department,Administration,Human Resources,General Fund,Tax-Supported Fund,Operating Expense,Human Resources,0,1780130
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Land Use Services,Public Resource Center,General Fund,Tax-Supported Fund,Operating Expense,Public Resource Center,0,2104581
2017,Neighborhoods & Development,Seattle Department of Construction and Inspections,Process Improvements and Technology,Process Improvements and Technology,General Fund,Tax-Supported Fund,Operating Expense,Process Improvements and Technology,0,4340583
2017,Administration,Seattle Department of Human Resources,Administrative Services,Administrative Services,General Fund,Tax-Supported Fund,Operating Expense,Administrative Services,0,7489890
2017,Administration,Seattle Department of Human Resources,Director's Office,Director's Office,General Fund,Tax-Supported Fund,Operating Expense,Director's Office,0,3761441
2017,Administration,Seattle Department of Human Resources,Labor Relations,Labor Relations,General Fund,Tax-Supported Fund,Operating Expense,Labor Relations,0,2027235
2017,Administration,Seattle Department of Human Resources,Talent Management and Development,Talent Acquisition and Management,General Fund,Tax-Supported Fund,Operating Expense,Talent Acquisition and Management,0,5366247
